Input.image,multiplicity-vs-unity,absolute-vs-relative,linearly-vs-painterly,planar-vs-recessional,closed-form-vs-open-form
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000962.png,0.75,0.8,0.95,0.65,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000964.png,0.5,0.75,0.95,0.5,0.6
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000968.png,0.5,0.7,0.9,0.85,0.45
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000993.png,0.6,0.75,0.85,0.9,0.6
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000999.png,0.25,0.85,0.65,0.65,0.6
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000000.png,0.7,0.25,0.95,0.65,0.65
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000025.png,0.45,0.45,0.95,0.4,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000029.png,0.7,0.85,0.75,0.65,0.85
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000041.png,0.65,0.75,0.8,0.25,0.55
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000044.png,0.5,0.8,0.85,0.8,0.6
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000052.png,0.75,0.85,0.7,0.65,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000054.png,0.55,0.7,0.85,0.85,0.85
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000057.png,0.6,0.4,0.9,0.7,0.7
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000090.png,0.7,0.75,0.8,0.65,0.75
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000101.png,0.6,0.5,0.8,0.15,0.5
https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_shape_entropy000102.png,0.6,0.75,0.8,0.55,0.65
