,Input.image,Input.image,absolute-clarity-vs-relative-clarity,multiplicity-vs-unity,Linearly-vs-Painterly,Planar-vs-Recessional,closed-form-vs-open-form,amusement,anger,awe,contentment,disgust,excitement,fear,sadness,something else,overall_negative,overall_positive,overall_something
66,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000716.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000716.png,0.4,0.75,0.75,0.55,0.6,1,0,1,0,0,0,0,2,1,0,1,0
67,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000729.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000729.png,0.6,0.7,0.65,0.7,0.7,0,0,1,1,1,0,0,1,1,0,1,0
68,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000750.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000750.png,0.65,0.85,0.8,0.55,0.7,0,0,1,0,0,0,2,1,1,1,0,0
69,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000752.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000752.png,0.75,0.85,0.65,0.65,0.5,1,0,2,0,0,1,0,0,1,0,1,0
70,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000768.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000768.png,0.5,0.7,0.85,0.35,0.55,3,0,0,0,0,2,0,0,0,0,1,0
71,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000772.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000772.png,0.55,0.6,0.65,0.55,0.75,0,0,0,1,2,2,0,0,0,0,1,0
72,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000787.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000787.png,0.65,0.85,0.8,0.3,0.65,0,0,0,0,1,0,2,0,2,1,0,0
73,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000788.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000788.png,0.45,0.75,0.8,0.6,0.5,0,0,0,1,0,1,0,1,2,0,1,0
74,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000794.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000794.png,0.8,0.7,0.5,0.2,0.5,1,0,0,1,0,2,0,1,0,0,1,0
75,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000799.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000799.png,0.55,0.5,0.95,0.3,0.55,0,0,0,1,2,0,1,0,1,1,0,0
76,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000808.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000808.png,0.5,0.8,0.65,0.15,0.45,1,1,0,0,0,0,0,3,0,1,0,0
77,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000809.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000809.png,0.4,0.75,0.85,0.7,0.75,0,0,0,2,0,1,0,2,0,0,1,0
78,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000819.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000819.png,0.6,0.85,0.65,0.4,0.65,0,0,0,1,0,0,1,0,3,0,0,1
79,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000820.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000820.png,0.55,0.8,0.75,0.55,0.65,0,0,0,2,1,0,1,0,1,0,1,0
80,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000822.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000822.png,0.5,0.6,0.85,0.6,0.8,0,0,2,0,0,1,2,0,0,0,1,0
81,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000825.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000825.png,0.65,0.9,0.85,0.65,0.5,1,2,0,0,0,1,1,0,0,1,0,0
82,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000842.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000842.png,0.55,0.7,0.9,0.6,0.7,1,0,0,1,0,1,1,0,1,0,1,0
83,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000875.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000875.png,0.65,0.8,0.8,0.75,0.5,0,0,1,1,0,0,1,1,1,0,1,0
84,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000879.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000879.png,0.6,0.5,0.9,0.4,0.8,1,0,0,0,1,0,3,0,0,1,0,0
